,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
24,bird,special,special,5YqgLosDBFzjeXUvNwCnQC,0.745,0.514,9,-14.136,0,0.109,0.832,0.242,0.886,90.052,146667,4
25,Nathan Kawanishi,Morning-Evening,Tokyo Trainspotting,71xDIzNBNBymTelTTUz3YC,0.595,0.526,6,-10.11,1,0.167,0.875,0.322,0.944,78.002,120769,4
26,Odd Shapes,Thousand Islands,Cruising Avenues,3pb6lOqe10g5OXtTyZA3Vb,0.651,0.354,1,-12.098,1,0.0977,0.446,0.336,0.481,136.029,184008,3
27,Bcalm,Late Night Cruisin',Late Night Cruisin',4CAv2SgblWL9g2bf7Xft0W,0.709,0.328,2,-11.118,0,0.0491,0.926,0.363,0.319,90.004,97333,4
28,Slacker Boy,From Above,Chillin',54G7nglEzYJdrIfCcur3El,0.729,0.636,2,-9.117,1,0.189,0.408,0.237,0.587,170.045,128852,4
29,C-90,Ferrochrome,Ferrochrome,10yzr6JwWrvxVuJnFKSe6B,0.651,0.625,4,-10.125,0,0.0437,0.949,0.106,0.357,159.978,142393,4
30,Talented Mr Tipsy,Jukebox Dim,Jukebox Dim,7CzwNHiknbQ5p7IinDOYwU,0.689,0.343,0,-8.091,1,0.0522,0.928,0.131,0.263,84.984,138353,4
31,Magn Us,Common Sunflower,Common Sunflower,2LWBOPGmgxCI9awFaBN5JL,0.799,0.484,11,-8.4,0,0.0907,0.916,0.0903,0.552,87.02,99318,4
32,Fred Paci,They Come In Peace,They Come In Peace,6jGjXEvaAoCkJr75Rlh6wB,0.464,0.299,1,-19.912,0,0.104,0.603,0.314,0.557,81.92,205240,5
33,"Sarah, the Illstrumentalist",Celebrate You,Celebrate You,5ZmTz0zMu1ENE9ksmNKuBi,0.727,0.469,6,-8.025,1,0.0419,0.944,0.0811,0.591,96.996,142053,4
34,Roboflex,A Trip for You,A Trip for You,67ZzZ5axS4vv3HKb4052Ju,0.517,0.566,9,-9.49,0,0.0817,0.915,0.166,0.33,77.536,134143,4
35,Timothy Infinite,Outdoor Seating,Outdoor Seating,2rIfTTZC9pfxczVyBxlVEI,0.602,0.362,11,-8.158,0,0.0859,0.756,0.186,0.231,144.07,137938,4
36,Hairklep,Alter Witz,Alter Witz,4FO8ygXmPAxWeU8xX0JiVT,0.851,0.237,6,-10.349,1,0.235,0.884,0.109,0.699,81.995,86159,4
37,"Sarah, the Illstrumentalist",Happy To See You,Happy to See You,2c6Si68uNJOXbWA4gFOo6p,0.686,0.628,0,-5.862,0,0.0361,0.209,0.111,0.8,89.409,131735,4
38,Zumak,City Beatbox,City Beatbox,55G7LzvJNYZJiPFitg1g4y,0.81,0.288,0,-8.961,1,0.0995,0.85,0.105,0.363,72.978,118356,4
39,Izidore x,lustig,lustig,4PqKF4AvWgQLDh7hUYdYtc,0.776,0.347,7,-11.312,0,0.0606,0.772,0.0606,0.225,149.899,129000,4
40,SLACER,The Road is Winding,The Road is Winding,2oYlPGxZPPd6jer8rHO2mr,0.729,0.387,5,-12.048,0,0.0633,0.801,0.13,0.452,150.01,147400,4
41,ideal form,lightbulb,wolfram wonders,2SEnMRBzVNrfraOxbFKI2Q,0.708,0.328,2,-10.542,0,0.0991,0.0759,0.102,0.392,180.257,108007,4
42,SLKBTS,sunday am,sunday am,1gr9Risxpt6BfHdu5VxtAx,0.718,0.646,8,-8.211,0,0.275,0.234,0.179,0.812,80.233,118513,4
43,Hawk Town,Sunny Side,Sunny Side,2J8gE4IMrJhOpKad0UgM25,0.675,0.477,5,-11.497,1,0.0459,0.656,0.0974,0.896,90.004,157500,4
44,Hazeeman,Amnesia,Gelato 33,3Gzs37SLuzINUby4IAD0Hs,0.818,0.448,9,-9.342,1,0.161,0.919,0.0817,0.637,79.976,112461,4
45,Brief & Breezy,Winter Keys,Winter Keys,6NT3drJc597TCEIK8LMFka,0.729,0.522,6,-6.309,1,0.0515,0.91,0.17,0.386,80.015,156000,4
46,Xsist,Goodwill,Papillon,6S1uhrWCT8WFV6z8f5P8Va,0.827,0.382,11,-13.004,0,0.0584,0.921,0.106,0.701,140.194,110571,4
47,Above the Mex,Golden Cat,Golden Cat,1zvls0maQeLYZyIJwynbD1,0.81,0.625,5,-7.757,1,0.111,0.879,0.0908,0.675,88.985,226813,4
48,Chilou,The Chillest,The Chillest,6uA5tWVvj13MGLNxhHGxhr,0.667,0.652,5,-10.379,1,0.0476,0.815,0.117,0.514,149.995,151200,4
49,Monzzune,Go To Kaua'i,Trip Vibe,7K6XMQzUNiLQ3NIhCqBwU4,0.649,0.11,0,-16.499,0,0.396,0.821,0.168,0.858,180.099,134569,3
50,Toshdy,Montego,Montego,3t3KBPlKEIxUtk3h0DNQJn,0.418,0.287,5,-9.749,0,0.0583,0.914,0.0988,0.687,76.948,147000,4
51,Savage Bops,Out Of Jazzizity,Out Of Jazzizity,6LnZKT2R1jhUTXgwUPldIr,0.748,0.339,0,-5.753,1,0.0809,0.856,0.151,0.832,90.063,141667,4
52,"Sarah, the Illstrumentalist",Chillin In Cabo,Where the Sun Lives,1Q6Yq87dBVj1BYaiOsjKph,0.686,0.499,11,-10.212,1,0.0306,0.203,0.298,0.515,97.088,141064,4
53,Alex Dumpty,Morning Yolk,Voxter,7aoKOVATErohs5ebJmeIlt,0.495,0.396,8,-11.815,0,0.062,0.893,0.344,0.387,74.925,116000,4
54,slvmdunk,Solution,Solution,59KFxZW9JsG5ZCImfl037l,0.765,0.569,2,-9.715,1,0.0657,0.829,0.307,0.456,90.002,174133,4
55,Tatami Construct,Contour,contour,2Pb6ZuEm6FEfcGlqhHuqPN,0.743,0.44,2,-14.213,1,0.0924,0.879,0.391,0.732,147.921,175135,4
56,Jobii,Llama Drama,Llama Drama,3BIigRWvCUldxIeQkzSEMa,0.487,0.682,0,-6.373,0,0.075,0.566,0.134,0.446,173.985,127901,3
57,L.O.F.I,Palm Beach,Palm Beach,3EK9wi1Guh6qmKuPbjGKIC,0.672,0.757,10,-4.826,1,0.224,0.842,0.277,0.482,90.981,127088,4
58,Boshi,BEACH WAVES,BEACH WAVES,5kh6cDKfut5E1J8mP8dX0Y,0.604,0.197,3,-15.12,0,0.0469,0.935,0.108,0.243,89.889,128000,4
59,Strident Mink,Perspectives,Perspectives,0cAx7XcK0FgWXNr2FD7xhc,0.716,0.485,9,-13.413,0,0.111,0.831,0.138,0.543,77.759,84023,4
60,Malia Løu,Tightrope Dancer,Tightrope Dancer,2KNjcNgghOZqNmfCGa5KuY,0.77,0.412,0,-12.769,0,0.0656,0.0819,0.13,0.568,84.999,142047,4
61,Hype Right,Soft Lad,Sault,65q3kfyuiECf7SyL4lL0oO,0.796,0.411,6,-9.928,0,0.0366,0.915,0.122,0.337,81.01,194862,4
62,Papier,March,Cool Stuff,2U93rBs3yVtgaXzsB0gvhr,0.623,0.19,2,-24.368,1,0.0538,0.93,0.172,0.253,78.014,147692,4
63,yori yoi hi,gin mood,gin mood,5YAr1nEOeBQLsrqntj7Nyz,0.807,0.256,6,-20.061,0,0.0527,0.673,0.0896,0.576,98.99,160941,4
64,Beat Oven,Kid Tested & Mother Approved,Royal Highness,7uJKZCjiHRAde6xQm2Kx0Q,0.754,0.422,9,-12.66,1,0.294,0.215,0.108,0.517,160.227,128729,4
65,Sunshine and Raindrops,Set the Sky on Fire,Set the Sky on Fire,3jZ6PpHPQuON6Bt2PYl7Vs,0.693,0.507,2,-10.679,0,0.077,0.772,0.0766,0.145,170.002,142588,4
66,Chapel Chill,Sweet Taboo,Sweet Taboo,40gdXSYMmhTw2TvD8J1TdY,0.694,0.4,1,-5.946,0,0.0499,0.793,0.103,0.683,89.975,141333,4
67,Stereo Pack,Sunrise Citi,Step,51pGm8SzomGrEjBKzGQnYQ,0.666,0.399,10,-10.911,1,0.0511,0.759,0.114,0.248,84.015,120268,4
68,artoban,dry&high,keyless,4b7vbNg9x0cgHjquvvhhZC,0.865,0.5,11,-10.715,1,0.0659,0.783,0.0965,0.967,84.982,101654,4
69,High Low Row,Abracadabra,The Pappas,0n7UVP6hEStbS96Uugnyzs,0.809,0.121,7,-13.459,0,0.428,0.883,0.141,0.343,87.017,224769,4
70,A Monica,Swimming Instructor,Apolloniz,0a2LxXM7I3nkbpz229aZeJ,0.827,0.452,7,-9.352,0,0.049,0.96,0.113,0.672,89.989,128000,4
71,Guustavv,Lagom,Staying Inside Tonight,5Wkh4tytIpCave04bDIr58,0.744,0.577,10,-7.334,1,0.0582,0.583,0.114,0.211,146.062,129863,4
72,Ninjasister,Rain On Me,Rain On Me,0XjBGhw51yUMQMZ8ftgJdr,0.62,0.281,11,-11.054,1,0.0566,0.938,0.116,0.238,170.034,147529,4
73,Bonham Style,Bonham Style,Hi and Lo(fi),5DBgbH2SxV3XNYanN82cKV,0.716,0.136,6,-20.656,1,0.102,0.729,0.109,0.215,84.01,218214,4
74,55 South,Chi-town,Chi-town,6IlUL7y90tJ87q4f37egWZ,0.675,0.222,6,-14.215,0,0.0367,0.49,0.104,0.122,148.038,161014,4
75,StuntBoy,Reach Out,Sorbets,0myyZ5la6POCla0TiQAlJI,0.534,0.36,0,-9.667,1,0.136,0.681,0.106,0.25,75.62,120000,3
76,Screen Jazzmaster,Warm Breeze,Warm Breeze,5728OBye3peeIkv9qlps0H,0.729,0.42,6,-9.439,1,0.209,0.515,0.142,0.449,160.11,144917,4
77,Aberdeen/Stavanger,Catalangelo,Catalangelo,5dW5pzdqZZd9cnFi5hV18S,0.663,0.527,10,-9.815,1,0.0376,0.681,0.329,0.46,95.111,128685,4
78,dogphase,Wanderlust,Wanderlust,6LodoJCkHdELJ4JHiDfMGz,0.647,0.433,2,-15.193,1,0.047,0.892,0.114,0.451,170.005,141317,4
79,Satchel Kebab,brats,brats,4OY35K0SrR9HPqsEnAwt1b,0.79,0.311,0,-9.712,1,0.186,0.832,0.116,0.139,146.033,164315,4
80,No2Pencil,Backyard,Swing Set,6NvN5QdlI7GItnKdhvtrwG,0.71,0.454,11,-8.807,1,0.227,0.753,0.174,0.547,215.952,137448,3
81,Jobii,Flakes,Jellyfish Chute,75JhYhGyekZtPgDyLbyRqS,0.654,0.519,4,-10.262,0,0.198,0.909,0.143,0.271,174.019,161379,4
82,dusty dexter,Just Vibin’,Just Vibin’,4XqMeXDc6GrMIhKo9AIFeQ,0.734,0.51,4,-12.776,1,0.219,0.81,0.134,0.539,82.973,126067,4
83,Blue Boatz,words > numbers,words > numbers,04zAxdQmKHREESSIcHRF3K,0.785,0.476,8,-6.634,0,0.0522,0.894,0.121,0.544,86.979,176552,4
84,Trigober,Flower Shop,Flower Shop,0OSJchsd1chO0jAjgpfzvk,0.871,0.314,8,-13.762,1,0.357,0.885,0.062,0.679,135.999,186176,4
85,Ray Ford,Lush 002,Lush 002,1xdSbbuFi2g5bpe01pBgQc,0.673,0.339,0,-7.936,1,0.061,0.922,0.0851,0.212,79.988,174000,4
86,PIÑA PINK,Waking Waves,Waking Waves,2CCvwL3lgXH94oajKSOblm,0.649,0.158,9,-17.229,1,0.164,0.848,0.0639,0.425,84.031,187857,4
87,Oscar Hollis,Lost in Flight,Strange Times,3hiYbD5SrOXc1VwShps37y,0.748,0.736,1,-6.215,0,0.156,0.121,0.143,0.432,160.046,158000,4
88,Smartface,Dissolve,Stonecutter,6sA23FIxsg4TmejPXSaAXM,0.728,0.577,5,-7.552,0,0.0503,0.902,0.146,0.709,89.979,161854,4
89,Rio Nilo,Caminos,Caminos,6908A1nEezSYjpplzdfs2z,0.764,0.435,11,-7.312,0,0.148,0.9,0.0746,0.829,75.016,138000,4
90,HNNY,Montara,Montara,49VM3vCQBFr1wJJw7xByGf,0.772,0.655,7,-11.531,1,0.0437,0.902,0.0753,0.621,91.995,225489,4
91,Re-Lax & Re-Why'nd,Springboard Fun,Springboard Fun,2diMv8vVlQRyP9CA5PFI5s,0.673,0.341,7,-13.148,1,0.0738,0.85,0.108,0.637,169.903,144000,4
92,heading__,outwards,millions,5I20Xa98Zm3YQlSfRQgwxt,0.559,0.509,11,-11.03,0,0.0541,0.881,0.129,0.145,159.99,108008,4
93,kahlooa station,Late Hour,Late Hour,5ueBL4PSEp7B7TInLXxhFA,0.721,0.557,9,-13.489,0,0.125,0.897,0.0796,0.466,90.03,138667,4
94,Jon Droulis,Lab,Lab,2kHDQldORUg2dYR1BOQlWc,0.346,0.417,10,-11.913,1,0.0361,0.856,0.122,0.317,90.038,141333,4
95,Eric Goldander,"Times, Times","Times, Times",1CEeMld7h9WlsJBTobGPyu,0.703,0.521,8,-12.028,1,0.0481,0.841,0.12,0.397,115.132,133026,4
96,"Sarah, the Illstrumentalist",Carolina Sound,Nine One Nine,56Bovd4TcOgv6LbVpSMgh8,0.647,0.638,2,-9.214,0,0.034,0.933,0.105,0.199,93.969,136532,4
97,Mr Nitro,Paint Drip,Paint Drip,7JlI1eHDw1XWFiMy3LKJ8b,0.805,0.19,5,-12.977,0,0.136,0.955,0.0909,0.502,135.137,106667,3
98,Zach Jordan,Retrospective,Retrospective,5BYOPUidJX9Hx0T6tv3lWA,0.709,0.325,8,-11.215,1,0.0725,0.949,0.115,0.708,77.983,131154,4
99,Dusty Decks,Midnight Set,Midnight Set,2SXFyO8D10xlpvKkyGWZrJ,0.595,0.474,2,-8.507,1,0.0287,0.785,0.136,0.499,148.406,163848,3
100,Giorgio Robertini,Mr Lonely,Mr Lonely,3vkXcpV294D0mrLIz5k1nM,0.735,0.214,9,-13.231,0,0.0482,0.933,0.135,0.196,85.028,112941,4
101,!nvite,strolling,strolling,1d4ZvL8uuUPTEAnocC3zEa,0.857,0.381,2,-12.755,1,0.192,0.0191,0.126,0.329,84.997,138875,4
102,everdrone,organiks,just on,3m8usZQbsOrRO2WdZU8ShP,0.73,0.376,1,-9.809,1,0.0433,0.973,0.134,0.847,105.01,109720,4
103,Wun Two,la donna e la chitarra,la donna e la chitarra,5goDbdYkF4ogWljlBSqoKb,0.569,0.283,3,-11.307,1,0.0875,0.815,0.11,0.957,73.017,105205,4
104,Sima Jones,Butterfly Effect,Butterfly Effect,1OjgvrmMnOHkOKChAZYV4H,0.574,0.736,1,-6.616,0,0.0411,0.883,0.16,0.959,169.84,115765,4
105,Dream Web,Soft Slap,Soft Slap,3umoNiC2gyJ4oaGj7t74Zk,0.713,0.161,2,-13.764,0,0.104,0.886,0.0984,0.941,180.09,243577,4
106,Phunkenstein's Monstrum Pants,Under The Floorboards,Under The Floorboards,78iRAIkQflMpPJi9C0PlTu,0.698,0.44,1,-9.959,1,0.043,0.886,0.387,0.529,89.997,157333,4
107,Lush Groovebox,Mellow Horizon,Jazzy Attitude,1ImlRruQ0ZMShqLNQ47JA7,0.706,0.173,5,-15.986,0,0.109,0.913,0.114,0.435,90.011,88062,4
108,Flora Vida,Flora Vida,Flor de Maga,6YUl5cWPcgEdKl4qtCNlsg,0.793,0.469,7,-7.57,1,0.191,0.259,0.111,0.222,88.001,152666,4
109,rolla skates,cold fizzies,cold fizzies,0Tstl9VZP9x3FvSC3CcTNI,0.752,0.716,11,-9.818,0,0.0901,0.357,0.0949,0.635,89.998,134000,4
110,Dot One,Streetlife,Streetlife,68kgY2W1t6P0UcRcwZH0OP,0.726,0.607,6,-12.829,0,0.0878,0.903,0.0899,0.814,169.951,91454,4
111,Hoffy Beats,Inner Passages,Tomorrow Will Be Better,62zFKMb9q7pnJgV64UQX1f,0.576,0.179,3,-11.253,1,0.0329,0.627,0.106,0.0652,77.003,154088,4
112,spice rack,flavors,Nutmeg,5FdgWHIy3LsIoRzCOJ4jg1,0.472,0.338,0,-13.968,1,0.0323,0.851,0.1,0.333,176.248,124091,4
113,Odinson,Lofi Chopin,Andantino,6JONGK3utqMZaFK7l6QyTk,0.846,0.134,8,-17.054,1,0.222,0.911,0.111,0.568,125.184,170640,4
114,Smartface,Dissolve,Run Boy,57kn96jwh3J2BzIeYrHURr,0.801,0.576,10,-4.795,0,0.134,0.949,0.0354,0.687,81.963,152783,4
115,Mwuah,Coral,Coral,55RpiZ4sQaEEbcGAOukL3S,0.68,0.541,4,-6.911,0,0.066,0.949,0.0995,0.0951,85.041,153522,4
116,Ashley Orikami,Sunnyside Crossing (Ode to KK),Sunnyside Crossing (Ode to KK),4F5mLxbhGHhwQpYeJCZKAf,0.782,0.386,10,-12.523,0,0.116,0.906,0.612,0.294,180.039,218500,4
117,Keyser Dope,Perspective,Perspective,673JYsOrXLLviHKtcilXYv,0.737,0.581,0,-6.158,1,0.0414,0.857,0.129,0.695,180.024,178667,4
118,fresh from the oven,yaaas,yaaas,7FAktFGtxzYbcE6ceIyYzn,0.575,0.423,9,-9.062,1,0.0538,0.3,0.359,0.246,176.031,155795,4
119,Greenland,Red Dove,Red Dove,7LebLMIwvYvoWbBd9GYtxW,0.72,0.533,5,-10.546,0,0.117,0.925,0.115,0.638,192.187,122500,4
120,Blue Zombie,Octavium,Sun Burst,4hIIqxifE3o9tVbCjtIeB2,0.792,0.583,8,-11.419,0,0.0681,0.719,0.121,0.362,89.967,106667,4
121,Monster Guy,Dangerous Eyes,Inspector Fidget,6qXTQx6WNF4bL8OUqltK5T,0.784,0.46,0,-8.582,0,0.152,0.869,0.0816,0.154,82.987,127229,4
122,Beat Oven,Superpad,Fairy Tale,6ND6qzbcyyCLdypdQFX2ie,0.687,0.526,7,-6.967,1,0.0377,0.843,0.217,0.255,83.991,92139,4
123,Yumas,¿Qué bolá?,Habana Vieja,1mI09jvN78SzxAk3pvHmiD,0.732,0.43,1,-12.924,0,0.0884,0.785,0.103,0.681,75.012,186000,4
124,pastels,G&T!,G&T!,6tgghxEXGuAeQWn3NYIsKT,0.693,0.7,7,-5.824,1,0.0353,0.876,0.0782,0.487,90.022,164572,4
125,Mama Gecko,Birch,Birch,3dOoEWVJqCZruubyO0W0Dt,0.601,0.406,2,-9.498,1,0.113,0.958,0.32,0.039,85.974,112674,4
126,cingie,bad habit,bad habit,5TZjQUcJwhqlDfQ4BApbYy,0.901,0.352,9,-9.311,0,0.0735,0.582,0.117,0.387,120.122,122949,4
127,Von Von Bon,Seven,Seven,3UdSY1SgSF60lpYdMbmeXm,0.691,0.32,1,-7.301,1,0.0713,0.687,0.11,0.407,89.973,149333,4
128,Mama Gecko,Backrest,Backrest,4cPAlNvmPCRulfIldis6aL,0.576,0.498,3,-10.707,0,0.086,0.249,0.273,0.706,89.013,146292,4
129,Wyl,Wasser Light & Oceania,Wasser Light,0UOf1ZcsrHG2GHpCuOaWwh,0.566,0.313,10,-10.719,0,0.0279,0.907,0.11,0.571,77.043,189037,4
130,Master Haratt,Marie,Homebound,7bqqQzMnUGjrauxOWTbZnH,0.692,0.329,11,-7.107,0,0.0505,0.9,0.116,0.683,84.975,203294,4
131,Lazy Leopard,Hang On,Hang On,4duI476FUu6iId8JOTOk8i,0.772,0.368,1,-13.738,0,0.0633,0.88,0.108,0.379,85.998,118605,4
132,Le Pug,Dimples,Dimples,5zNXoNQMHEQYegSTnfn5Jo,0.828,0.407,0,-9.976,1,0.367,0.762,0.108,0.491,170.034,115059,4
133,Lovetime Rhapsody,Sixth Degree,Try Again,7wrXYrhwg4MfjowXE87GsW,0.635,0.515,11,-9.447,0,0.0504,0.887,0.107,0.445,89.969,162243,4
134,Chiccote's Beats,southeast,veneza,1dF75yIxsJDjdvungUWfVc,0.563,0.437,10,-9.54,0,0.0266,0.942,0.0977,0.719,90.054,58851,4
135,gnachos,this wedding,this wedding,26i9wgPx6AVjD2s4AgsJ5M,0.657,0.678,7,-11.907,1,0.193,0.922,0.117,0.448,145.997,163014,4
136,"Sarah, the Illstrumentalist",Carolina Sound,North Cackalacky,0pnG8DPAtNKu2tUWXPI5Qs,0.68,0.43,2,-7.263,1,0.0465,0.902,0.105,0.278,93.003,148419,4
137,Avatron,Lost World,Lost World,5up5Dz71Pju2BhK6NffTg8,0.772,0.467,7,-9.721,0,0.231,0.872,0.104,0.169,87.974,160915,4
138,Lightover,Humidity,The Package Deal,4pNLT2LaDsj5jnW4DuPHlf,0.7,0.563,8,-12.112,0,0.0462,0.916,0.101,0.832,90.022,162674,4
139,Milken,Isabellanova,Isabellanova,0svNNQKUZNpJdY4qKEohug,0.827,0.351,9,-12.935,1,0.0418,0.812,0.111,0.484,132.011,141496,4
140,shamgang,Moods 2020,slow breath,3Zg7CJ3QSfkT5JYnQgBfJD,0.615,0.46,7,-6.088,0,0.0857,0.878,0.107,0.549,176.01,128182,4
141,Flimbo,Summer Haze,Summer Haze,7sTB4R9y1hyAxxA2mixs3L,0.697,0.483,10,-6.563,0,0.0403,0.855,0.363,0.659,94.0,104681,4
142,The Precocious Birds,Good Morning,Uptown Buses,4Vs4uFcFIduQva6sfEIEqG,0.913,0.387,4,-12.619,0,0.279,0.495,0.0917,0.677,90.016,177139,4
143,Ensidya,No Problem Too Small,No Problem Too Small,0Td7VHO3ojTr3VO8GJTqQh,0.847,0.455,6,-7.513,0,0.0438,0.903,0.0654,0.666,87.985,122728,4
144,Smartface,Dang It,Holiday,3j7nBP1tUQq9ABXS02uZqD,0.674,0.647,2,-6.032,1,0.0466,0.86,0.214,0.588,86.992,192603,4
145,Sima Jones,Butterfly Effect,Bloke,10hUkqbTHRVqoNiPHq8pdi,0.763,0.691,10,-5.492,1,0.0275,0.933,0.144,0.668,89.971,106667,4
146,Tin Ghosts,Witching Hour,Witching Hour,17uRVL0hDUqWwbF4KYSr48,0.743,0.386,7,-11.106,1,0.229,0.858,0.0907,0.362,61.991,151452,4
147,Smoke Room Quartet,A Lazy Sunday At The Blue Coral,Lazy Sundays At The Blue Coral,6QhBDlJF7pSy8gicZv0YJA,0.812,0.712,7,-9.051,1,0.0336,0.842,0.235,0.814,139.984,142000,4
148,Glowfi,Constant Attention,Constant Attention,7MV8YZCECT0CbS27e01pPC,0.585,0.462,3,-7.178,0,0.199,0.916,0.111,0.586,180.008,171070,4
149,Matt Large,I'll Leave the Light on for You,Autumn in Prague,3lG3nnXioF0tPONms64ANl,0.616,0.441,7,-8.348,1,0.0503,0.768,0.18,0.671,176.021,223136,4
150,Fallen Roses,this feels so right,this feels so right,4or5RFuku3G0P1ZOLGBTLt,0.669,0.486,2,-10.015,0,0.0397,0.894,0.0982,0.214,170.03,90555,4
151,Mama Gecko,Loose,Loose,2jL3urmIC1PepoT93Mskmm,0.457,0.55,2,-9.915,1,0.437,0.0768,0.374,0.282,84.078,159070,4
152,Caleb Belkin,Infinity,Infinity,0ceojyPdPeysMco6d7LG5q,0.661,0.407,8,-16.91,1,0.0838,0.0457,0.153,0.651,153.951,124087,4
153,Nostalgique,Night Life,Night Life,2zUieLYGQw3zc0OypN47qQ,0.65,0.586,5,-8.772,0,0.0288,0.856,0.139,0.776,89.96,87667,4
154,Lazy Leopard,Concrete Dream,Concrete Dream,6Q0NQC52cxfZuulrtVCRyA,0.749,0.314,5,-14.503,0,0.0423,0.86,0.0832,0.445,143.915,140417,4
155,Opal Fangs,Positive Vibes,Positive Vibes,0VrZZ4GWTRa8TXJulbzJ6U,0.452,0.394,8,-12.502,0,0.27,0.922,0.106,0.358,84.197,91059,4
156,Dazik69,Color Spectrum,Lo-Fi Prism,7xMO3gsf52QohpGmPzBZgt,0.846,0.167,3,-15.462,0,0.0515,0.782,0.102,0.335,90.008,96021,4
157,Dr. Dundiff,Innerspace,Innerspace,7nWqc6CGV8ln1ouTtCtqZ4,0.843,0.432,11,-5.658,0,0.0791,0.867,0.0985,0.9,94.306,163261,4
